ReviewID,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_classification,vader_classification,CourseId,Review,Label,detected_language,translated_review,translated_review_lower,translated_review_tokenized,translated_review_removed_stopwords,stemmed_translated_review,lemmatized_translated_review
1,1.0,0.0,0.0,-0.3182,0.6180922985076904,0.30390292406082153,0.07800480723381042,-1.0,-1.0,2-speed-it,BOring,1,en,BOring,boring,['boring'],['boring'],['bore'],['boring']
2,0.0,1.0,0.0,0.0,0.027445679530501366,0.7229387760162354,0.2496155947446823,0.0,0.0,2-speed-it,Bravo !,5,en,Bravo !,bravo ,['bravo'],['bravo'],['bravo'],['bravo']
3,0.0,1.0,0.0,0.0,0.02918422222137451,0.255312442779541,0.7155033349990845,1.0,0.0,2-speed-it,Very goo,5,en,Very goo,very goo,"['very', 'goo']",['goo'],['goo'],['goo']
4,0.0,0.577,0.423,0.765,0.0034609995782375336,0.014382841996848583,0.9821562170982361,1.0,1.0,2-speed-it,"Great course - I recommend it for all, especially IT and Business Managers!",5,en,"Great course - I recommend it for all, especially IT and Business Managers!",great course  i recommend it for all especially it and business managers,"['great', 'course', 'i', 'recommend', 'it', 'for', 'all', 'especially', 'it', 'and', 'business', 'managers']","['great', 'course', 'recommend', 'especially', 'business', 'managers']","['great', 'cours', 'recommend', 'especi', 'busi', 'manag']","['great', 'course', 'recommend', 'especially', 'business', 'manager']"
5,0.0,0.715,0.285,0.4927,0.005715259816497564,0.09068409353494644,0.9036006331443787,1.0,1.0,2-speed-it,One of the most useful course on IT Management!,5,en,One of the most useful course on IT Management!,one of the most useful course on it management,"['one', 'of', 'the', 'most', 'useful', 'course', 'on', 'it', 'management']","['one', 'useful', 'course', 'management']","['one', 'use', 'cours', 'manag']","['one', 'useful', 'course', 'management']"
6,0.058,0.792,0.15,0.799,0.8735479116439819,0.11864673346281052,0.007805295288562775,-1.0,1.0,2-speed-it,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",3,en,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",i was disappointed because the name is misleading the course provides a good introduction  overview of the responsibilities of the cto but has very little specifically digital content it deals with twospeed it in a single short lecture so of course the treatment is superficial it is easy to find more indepth material freely available on the mckinsey website for example,"['i', 'was', 'disappointed', 'because', 'the', 'name', 'is', 'misleading', 'the', 'course', 'provides', 'a', 'good', 'introduction', 'overview', 'of', 'the', 'responsibilities', 'of', 'the', 'cto', 'but', 'has', 'very', 'little', 'specifically', 'digital', 'content', 'it', 'deals', 'with', 'twospeed', 'it', 'in', 'a', 'single', 'short', 'lecture', 'so', 'of', 'course', 'the', 'treatment', 'is', 'superficial', 'it', 'is', 'easy', 'to', 'find', 'more', 'indepth', 'material', 'freely', 'available', 'on', 'the', 'mckinsey', 'website', 'for', 'example']","['disappointed', 'name', 'misleading', 'course', 'provides', 'good', 'introduction', 'overview', 'responsibilities', 'cto', 'little', 'specifically', 'digital', 'content', 'deals', 'twospeed', 'single', 'short', 'lecture', 'course', 'treatment', 'superficial', 'easy', 'find', 'indepth', 'material', 'freely', 'available', 'mckinsey', 'website', 'example']","['disappoint', 'name', 'mislead', 'cours', 'provid', 'good', 'introduct', 'overview', 'respons', 'cto', 'littl', 'specif', 'digit', 'content', 'deal', 'twospe', 'singl', 'short', 'lectur', 'cours', 'treatment', 'superfici', 'easi', 'find', 'indepth', 'materi', 'freeli', 'avail', 'mckinsey', 'websit', 'exampl']","['disappointed', 'name', 'mislead', 'course', 'provide', 'good', 'introduction', 'overview', 'responsibility', 'cto', 'little', 'specifically', 'digital', 'content', 'deal', 'twospeed', 'single', 'short', 'lecture', 'course', 'treatment', 'superficial', 'easy', 'find', 'indepth', 'material', 'freely', 'available', 'mckinsey', 'website', 'example']"
7,0.209,0.299,0.493,0.5859,0.003700120607391,0.014152415096759796,0.9821474552154541,1.0,1.0,2-speed-it,Super content. I'll definitely re-do the course,5,en,Super content. I'll definitely re-do the course,super content ill definitely redo the course,"['super', 'content', 'ill', 'definitely', 'redo', 'the', 'course']","['super', 'content', 'ill', 'definitely', 'redo', 'course']","['super', 'content', 'ill', 'definit', 'redo', 'cours']","['super', 'content', 'ill', 'definitely', 'redo', 'course']"
8,0.0,0.7,0.3,0.9322,0.00327908992767334,0.018326357007026672,0.9783945083618164,1.0,1.0,2-speed-it,"Etant contrôleur de gestion pour le département IT (HQ + Locale), le cours est vraiment intéressant et de très bonne qualité.J'insiste que la qualité et le professionnalisme des professeurs.I'm a controller for an IT department, the courses is very good and very helpful for my job. I recommand you to follow the training.",5,fr,"Being management controller for the IT department (HQ + Local), the course is really interesting and of very good quality. I insist that the quality and professionalism of teachers.very good and very helpful for my job.I Recommend you to follow the training.",being management controller for the it department hq  local the course is really interesting and of very good quality i insist that the quality and professionalism of teachersvery good and very helpful for my jobi recommend you to follow the training,"['being', 'management', 'controller', 'for', 'the', 'it', 'department', 'hq', 'local', 'the', 'course', 'is', 'really', 'interesting', 'and', 'of', 'very', 'good', 'quality', 'i', 'insist', 'that', 'the', 'quality', 'and', 'professionalism', 'of', 'teachersvery', 'good', 'and', 'very', 'helpful', 'for', 'my', 'jobi', 'recommend', 'you', 'to', 'follow', 'the', 'training']","['management', 'controller', 'department', 'hq', 'local', 'course', 'really', 'interesting', 'good', 'quality', 'insist', 'quality', 'professionalism', 'teachersvery', 'good', 'helpful', 'jobi', 'recommend', 'follow', 'training']","['manag', 'control', 'depart', 'hq', 'local', 'cours', 'realli', 'interest', 'good', 'qualiti', 'insist', 'qualiti', 'profession', 'teachersveri', 'good', 'help', 'jobi', 'recommend', 'follow', 'train']","['management', 'controller', 'department', 'hq', 'local', 'course', 'really', 'interest', 'good', 'quality', 'insist', 'quality', 'professionalism', 'teachersvery', 'good', 'helpful', 'jobi', 'recommend', 'follow', 'training']"
9,0.0,0.764,0.236,0.5719,0.0034483394119888544,0.04683321714401245,0.9497184157371521,1.0,1.0,2-speed-it,One of the excellent courses at Coursera for information technology bosses and managers.,5,en,One of the excellent courses at Coursera for information technology bosses and managers.,one of the excellent courses at coursera for information technology bosses and managers,"['one', 'of', 'the', 'excellent', 'courses', 'at', 'coursera', 'for', 'information', 'technology', 'bosses', 'and', 'managers']","['one', 'excellent', 'courses', 'coursera', 'information', 'technology', 'bosses', 'managers']","['one', 'excel', 'cours', 'coursera', 'inform', 'technolog', 'boss', 'manag']","['one', 'excellent', 'course', 'coursera', 'information', 'technology', 'boss', 'manager']"
10,0.0,0.914,0.086,0.4939,0.09137599170207977,0.7246723771095276,0.18395167589187622,0.0,1.0,2-speed-it,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov",5,en,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov",is there any reason why you should not apply the course by bcgits content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspectsbest regardsoleg serov,"['is', 'there', 'any', 'reason', 'why', 'you', 'should', 'not', 'apply', 'the', 'course', 'by', 'bcgits', 'content', 'is', 'pretty', 'unique', 'and', 'includes', 'a', 'high', 'level', 'analysis', 'and', 'a', 'wide', 'range', 'of', 'knowledge', 'needed', 'to', 'cover', 'all', 'detailed', 'aspectsbest', 'regardsoleg', 'serov']","['reason', 'apply', 'course', 'bcgits', 'content', 'pretty', 'unique', 'includes', 'high', 'level', 'analysis', 'wide', 'range', 'knowledge', 'needed', 'cover', 'detailed', 'aspectsbest', 'regardsoleg', 'serov']","['reason', 'appli', 'cours', 'bcgit', 'content', 'pretti', 'uniqu', 'includ', 'high', 'level', 'analysi', 'wide', 'rang', 'knowledg', 'need', 'cover', 'detail', 'aspectsbest', 'regardsoleg', 'serov']","['reason', 'apply', 'course', 'bcgits', 'content', 'pretty', 'unique', 'include', 'high', 'level', 'analysis', 'wide', 'range', 'knowledge', 'need', 'cover', 'detailed', 'aspectsbest', 'regardsoleg', 'serov']"
